ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Ancho (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
599,variation,07503018231778,"CHICHARO NATURAL - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,,,,id:598,,,,,,1,GRAMOS,"200 gr",,0
600,variation,07503050663612,"CHICHARO NATURAL - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,90,,,,,,,id:598,,,,,,2,GRAMOS,"1 kg",,0
604,variable,,"CHICHARO ENCHILADO",1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,,,Semillas,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/40.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/CHICHARO-ENCHILADO.png",,,,,,,,,0,GRAMOS,"200 gr, 1 kg",1,0
605,variation,07503018231785,"CHICHARO ENCHILADO - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,,,,id:604,,,,,,1,GRAMOS,"200 gr",,0
606,variation,07503050663629,"CHICHARO ENCHILADO - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,90,,,,,,,id:604,,,,,,2,GRAMOS,"1 kg",,0
611,variable,,"CHURRO MIX CHILE (MEZCLA)",1,0,visible,,,,,taxable,,1,7,,0,0,,,,,1,,,,Mixes,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/56.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/CHURRO-MIX-CHILE.png",,,,,,,,,0,GRAMOS,"200 gr, 1 kg",1,0
612,variation,07503050663001,"CHURRO MIX CHILE (MEZCLA) - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,,,,id:611,,,,,,1,GRAMOS,"200 gr",,0
613,variation,07503050663841,"CHURRO MIX CHILE (MEZCLA) - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,170,,,,,,,id:611,,,,,,2,GRAMOS,"1 kg",,0
617,variable,,"CHURRO MIX NAT (MEZCLA)",1,0,visible,,,,,taxable,,1,7,,0,0,,,,,1,,,,Mixes,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/Delicias-del-campo-prodcutos-4.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/CHURRO-MIX.png",,,,,,,,,0,GRAMOS,"200 gr, 1 kg",1,0
618,variation,07503050663018,"CHURRO MIX NAT (MEZCLA) - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,,,,id:617,,,,,,1,GRAMOS,"200 gr",,0
